0.109 0.119 0.080 0.085 0.179 0.155 5401.015
0.110 0.120 0.080 0.084 0.181 0.156 5411.038
0.112 0.119 0.080 0.085 0.182 0.155 5421.054
0.111 0.120 0.079 0.084 0.182 0.154 5431.075
0.108 0.118 0.081 0.085 0.180 0.157 5441.097
0.109 0.120 0.081 0.084 0.180 0.156 5451.116
0.109 0.120 0.080 0.085 0.180 0.156 5461.135
0.111 0.120 0.080 0.084 0.183 0.156 5471.158
0.111 0.121 0.081 0.084 0.184 0.157 5481.279
0.111 0.119 0.081 0.086 0.183 0.158 5491.302
0.111 0.121 0.081 0.085 0.184 0.158 5501.325
0.111 0.121 0.080 0.084 0.183 0.158 5511.346
0.110 0.119 0.082 0.086 0.183 0.157 5521.365
0.111 0.121 0.081 0.086 0.184 0.159 5531.384
0.112 0.119 0.080 0.085 0.187 0.160 5541.406
0.114 0.120 0.080 0.086 0.187 0.158 5551.432
0.112 0.120 0.081 0.085 0.188 0.159 5561.455
0.112 0.121 0.081 0.086 0.187 0.161 5571.478
0.112 0.120 0.080 0.088 0.189 0.160 5581.501
0.113 0.122 0.082 0.087 0.187 0.161 5591.522
0.113 0.121 0.081 0.086 0.187 0.160 5601.547
0.112 0.122 0.080 0.085 0.189 0.161 5611.566
0.113 0.122 0.080 0.087 0.188 0.163 5621.589
0.114 0.121 0.081 0.085 0.190 0.161 5631.612
0.113 0.120 0.083 0.087 0.190 0.161 5641.635
0.113 0.122 0.083 0.086 0.192 0.163 5651.657
0.111 0.123 0.082 0.086 0.191 0.162 5661.680
0.113 0.121 0.081 0.086 0.191 0.162 5671.702
0.115 0.121 0.083 0.087 0.193 0.163 5681.722
